Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Public Safety,Part I Crimes,Part I Property Crimes,2012,12.505899,"Census Tract 4076.01, Los Angeles County, California",407601,La Puente,1400000US06037407601,"(34.0383465, -117.947004)",Part_I_Property_Crimes_2012_1400000US06037407601,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2015,46.475994,"Census Tract 2383.20, Los Angeles County, California",238320,Vermont Knolls,1400000US06037238320,"(33.962152, -118.2861365)",Part_I_Property_Crimes_2015_1400000US06037238320,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2014,9.1334896,"Census Tract 6704.11, Los Angeles County, California",670411,Rancho Palos Verdes,1400000US06037670411,"(33.7858915, -118.3789685)",Part_I_Property_Crimes_2014_1400000US06037670411,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2015,7.6714802,"Census Tract 2413, Los Angeles County, California",241300,Vermont Vista,1400000US06037241300,"(33.926092, -118.2860545)",Part_I_Violent_Crimes_2015_1400000US06037241300,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2014,19.568632,"Census Tract 8004.08, Los Angeles County, California",800408,Malibu,1400000US06037800408,"(34.02294, -118.7999009)",Part_I_Property_Crimes_2014_1400000US06037800408,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2012,,"Census Tract 9800.03, Los Angeles County, California",980003,Northeast Antelope Valley,1400000US06037980003,"(34.7929935, -117.957417)",Part_I_Violent_Crimes_2012_1400000US06037980003,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2012,25.309006,"Census Tract 1396, Los Angeles County, California",139600,Encino,1400000US06037139600,"(34.1632385, -118.509831)",Part_I_Property_Crimes_2012_1400000US06037139600,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2012,27.725939,"Census Tract 6028.01, Los Angeles County, California",602801,Athens,1400000US06037602801,"(33.9273235, -118.3002815)",Part_I_Property_Crimes_2012_1400000US06037602801,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2016,4.3706293,"Census Tract 1836.20, Los Angeles County, California",183620,Highland Park,1400000US06037183620,"(34.1147205, -118.189487)",Part_I_Violent_Crimes_2016_1400000US06037183620,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2012,16.995613,"Census Tract 2094.02, Los Angeles County, California",209402,Westlake,1400000US06037209402,"(34.0546635, -118.2772135)",Part_I_Property_Crimes_2012_1400000US06037209402,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2012,157.31293,"Census Tract 2260.02, Los Angeles County, California",226002,Downtown,1400000US06037226002,"(34.033429, -118.249304)",Part_I_Violent_Crimes_2012_1400000US06037226002,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2013,24.485798,"Census Tract 5545.11, Los Angeles County, California",554511,Cerritos,1400000US06037554511,"(33.8805125, -118.0376605)",Part_I_Property_Crimes_2013_1400000US06037554511,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2016,3.4500604,"Census Tract 2912.10, Los Angeles County, California",291210,Harbor Gateway,1400000US06037291210,"(33.8892885, -118.287175)",Part_I_Violent_Crimes_2016_1400000US06037291210,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2016,6.4267354,"Census Tract 2653.04, Los Angeles County, California",265304,Westwood,1400000US06037265304,"(34.0674805, -118.451101)",Part_I_Property_Crimes_2016_1400000US06037265304,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2014,4.5186639,"Census Tract 9105.04, Los Angeles County, California",910504,Palmdale,1400000US06037910504,"(34.568302, -118.105125)",Part_I_Violent_Crimes_2014_1400000US06037910504,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2013,7.6681771,"Census Tract 6702.02, Los Angeles County, California",670202,Rolling Hills Estates,1400000US06037670202,"(33.786898, -118.3573095)",Part_I_Property_Crimes_2013_1400000US06037670202,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2013,6.0832944,"Census Tract 2193, Los Angeles County, California",219300,Jefferson Park,1400000US06037219300,"(34.026962, -118.3316675)",Part_I_Violent_Crimes_2013_1400000US06037219300,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2014,7.2786088,"Census Tract 2345.01, Los Angeles County, California",234501,Hyde Park,1400000US06037234501,"(33.997504, -118.3246435)",Part_I_Violent_Crimes_2014_1400000US06037234501,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2016,3.3342595,"Census Tract 4081.40, Los Angeles County, California",408140,South San Jose Hills,1400000US06037408140,"(34.0091825, -117.9035275)",Part_I_Violent_Crimes_2016_1400000US06037408140,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2012,17.928288,"Census Tract 4812.01, Los Angeles County, California",481201,Temple City,1400000US06037481201,"(34.0971335, -118.0724615)",Part_I_Property_Crimes_2012_1400000US06037481201,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2015,2.3927848,"Census Tract 4071.02, Los Angeles County, California",407102,La Puente,1400000US06037407102,"(34.0437405, -117.976774)",Part_I_Violent_Crimes_2015_1400000US06037407102,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2015,3.8134351,"Census Tract 1151.03, Los Angeles County, California",115103,Northridge,1400000US06037115103,"(34.246414, -118.528551)",Part_I_Violent_Crimes_2015_1400000US06037115103,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2014,5.2689962,"Census Tract 2119.22, Los Angeles County, California",211922,Koreatown,1400000US06037211922,"(34.067223, -118.295398)",Part_I_Property_Crimes_2014_1400000US06037211922,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2012,16.888889,"Census Tract 1061.14, Los Angeles County, California",106114,Sylmar,1400000US06037106114,"(34.302675, -118.426951)",Part_I_Property_Crimes_2012_1400000US06037106114,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2012,4.6033034,"Census Tract 1329, Los Angeles County, California",132900,Encino,1400000US06037132900,"(34.185127, -118.525918)",Part_I_Violent_Crimes_2012_1400000US06037132900,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2016,14.455265,"Census Tract 4085.03, Los Angeles County, California",408503,Hacienda Heights,1400000US06037408503,"(33.984682, -117.985573)",Part_I_Property_Crimes_2016_1400000US06037408503,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2013,17.611198,"Census Tract 2118.02, Los Angeles County, California",211802,Koreatown,1400000US06037211802,"(34.0635375, -118.304729)",Part_I_Property_Crimes_2013_1400000US06037211802,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2014,8.2121067,"Census Tract 5312.02, Los Angeles County, California",531202,East Los Angeles,1400000US06037531202,"(34.026127, -118.186209)",Part_I_Property_Crimes_2014_1400000US06037531202,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0.48457438,"Census Tract 1397.02, Los Angeles County, California",139702,Encino,1400000US06037139702,"(34.1430395, -118.504833)",Part_I_Violent_Crimes_2014_1400000US06037139702,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2016,19.86895,"Census Tract 5406, Los Angeles County, California",540600,Willowbrook,1400000US06037540600,"(33.924654, -118.23355)",Part_I_Violent_Crimes_2016_1400000US06037540600,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0.20329335,"Census Tract 6704.13, Los Angeles County, California",670413,Rancho Palos Verdes,1400000US06037670413,"(33.771989, -118.397256)",Part_I_Violent_Crimes_2013_1400000US06037670413,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2012,8.5894251,"Census Tract 2226, Los Angeles County, California",222600,Exposition Park,1400000US06037222600,"(34.0218365, -118.2958795)",Part_I_Violent_Crimes_2012_1400000US06037222600,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2012,13.583815,"Census Tract 1941.02, Los Angeles County, California",194102,Hollywood Hills West,1400000US06037194102,"(34.116151, -118.365906)",Part_I_Property_Crimes_2012_1400000US06037194102,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2015,8.5487909,"Census Tract 2048.10, Los Angeles County, California",204810,Boyle Heights,1400000US06037204810,"(34.028574, -118.2027025)",Part_I_Violent_Crimes_2015_1400000US06037204810,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2012,13.389441,"Census Tract 1899.05, Los Angeles County, California",189905,Hollywood,1400000US06037189905,"(34.100732, -118.3514465)",Part_I_Property_Crimes_2012_1400000US06037189905,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2014,51.359516,"Census Tract 9302, Los Angeles County, California",930200,Tujunga Canyons,1400000US06037930200,"(34.340966, -118.294994)",Part_I_Property_Crimes_2014_1400000US06037930200,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2016,8.1967211,"Census Tract 2941.20, Los Angeles County, California",294120,Wilmington,1400000US06037294120,"(33.795656, -118.2471535)",Part_I_Violent_Crimes_2016_1400000US06037294120,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2013,11.798875,"Census Tract 2409, Los Angeles County, California",240900,Green Meadows,1400000US06037240900,"(33.9348825, -118.261859)",Part_I_Violent_Crimes_2013_1400000US06037240900,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2016,5.8906693,"Census Tract 2741, Los Angeles County, California",274100,Venice,1400000US06037274100,"(33.9883695, -118.450146)",Part_I_Violent_Crimes_2016_1400000US06037274100,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2014,29.525387,"Census Tract 5315.02, Los Angeles County, California",531502,East Los Angeles,1400000US06037531502,"(34.0195495, -118.1704775)",Part_I_Property_Crimes_2014_1400000US06037531502,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2012,13.692579,"Census Tract 5424.01, Los Angeles County, California",542401,Compton,1400000US06037542401,"(33.892326, -118.2110415)",Part_I_Violent_Crimes_2012_1400000US06037542401,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2015,3.2002048,"Census Tract 1114, Los Angeles County, California",111400,Granada Hills,1400000US06037111400,"(34.257483, -118.495412)",Part_I_Violent_Crimes_2015_1400000US06037111400,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2012,,"Census Tract 9800.02, Los Angeles County, California",980002,Carson,1400000US06037980002,"(33.809244, -118.241188)",Part_I_Violent_Crimes_2012_1400000US06037980002,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0.68259388,"Census Tract 1286.02, Los Angeles County, California",128602,Sherman Oaks,1400000US06037128602,"(34.1712145, -118.4356065)",Part_I_Violent_Crimes_2012_1400000US06037128602,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2013,20.98501,"Census Tract 9005.06, Los Angeles County, California",900506,Lancaster,1400000US06037900506,"(34.682332, -118.0991665)",Part_I_Property_Crimes_2013_1400000US06037900506,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2015,2.98141,"Census Tract 5502.02, Los Angeles County, California",550202,Norwalk,1400000US06037550202,"(33.923226, -118.0904465)",Part_I_Violent_Crimes_2015_1400000US06037550202,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2015,39.38224,"Census Tract 2147, Los Angeles County, California",214700,Beverly Grove,1400000US06037214700,"(34.0665205, -118.366383)",Part_I_Property_Crimes_2015_1400000US06037214700,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2014,17.904863,"Census Tract 5316.04, Los Angeles County, California",531604,East Los Angeles,1400000US06037531604,"(34.0238505, -118.1624395)",Part_I_Property_Crimes_2014_1400000US06037531604,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2016,9.1646109,"Census Tract 5315.03, Los Angeles County, California",531503,East Los Angeles,1400000US06037531503,"(34.0294235, -118.1749085)",Part_I_Property_Crimes_2016_1400000US06037531503,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2016,4.3793163,"Census Tract 9001.03, Los Angeles County, California",900103,Lake Los Angeles,1400000US06037900103,"(34.6312205, -117.845138)",Part_I_Violent_Crimes_2016_1400000US06037900103,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2015,33.321579,"Census Tract 5435.03, Los Angeles County, California",543503,West Carson,1400000US06037543503,"(33.833228, -118.2925675)",Part_I_Property_Crimes_2015_1400000US06037543503,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2014,3.5467613,"Census Tract 1194, Los Angeles County, California",119400,Arleta,1400000US06037119400,"(34.2399345, -118.4355265)",Part_I_Violent_Crimes_2014_1400000US06037119400,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2012,15.530403,"Census Tract 1275.20, Los Angeles County, California",127520,Van Nuys,1400000US06037127520,"(34.2182555, -118.469623)",Part_I_Property_Crimes_2012_1400000US06037127520,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2015,6.8285279,"Census Tract 4034.04, Los Angeles County, California",403404,Walnut,1400000US06037403404,"(34.028482, -117.854273)",Part_I_Property_Crimes_2015_1400000US06037403404,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0.50632912,"Census Tract 1416, Los Angeles County, California",141600,Sherman Oaks,1400000US06037141600,"(34.1376705, -118.459396)",Part_I_Violent_Crimes_2014_1400000US06037141600,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2013,16.533806,"Census Tract 1325.01, Los Angeles County, California",132501,Reseda,1400000US06037132501,"(34.197466, -118.548712)",Part_I_Property_Crimes_2013_1400000US06037132501,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2014,24.790827,"Census Tract 1242.04, Los Angeles County, California",124204,North Hollywood,1400000US06037124204,"(34.1739735, -118.3746565)",Part_I_Property_Crimes_2014_1400000US06037124204,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0.81543899,"Census Tract 2119.22, Los Angeles County, California",211922,Koreatown,1400000US06037211922,"(34.067223, -118.295398)",Part_I_Violent_Crimes_2013_1400000US06037211922,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2012,11.107863,"Census Tract 2377.20, Los Angeles County, California",237720,Vermont Knolls,1400000US06037237720,"(33.9692975, -118.286182)",Part_I_Violent_Crimes_2012_1400000US06037237720,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2014,1.4031806,"Census Tract 1047.03, Los Angeles County, California",104703,Pacoima,1400000US06037104703,"(34.2551165, -118.399872)",Part_I_Violent_Crimes_2014_1400000US06037104703,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2016,19.772318,"Census Tract 1413.03, Los Angeles County, California",141303,Sherman Oaks,1400000US06037141303,"(34.1550215, -118.4552015)",Part_I_Property_Crimes_2016_1400000US06037141303,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2013,35.780384,"Census Tract 1990, Los Angeles County, California",199000,Lincoln Heights,1400000US06037199000,"(34.081284, -118.21934)",Part_I_Property_Crimes_2013_1400000US06037199000,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2014,4.2411389,"Census Tract 1242.01, Los Angeles County, California",124201,North Hollywood,1400000US06037124201,"(34.1848665, -118.374674)",Part_I_Violent_Crimes_2014_1400000US06037124201,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2016,0.407581,"Census Tract 4336.01, Los Angeles County, California",433601,Rosemead,1400000US06037433601,"(34.0674675, -118.0749165)",Part_I_Violent_Crimes_2016_1400000US06037433601,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2012,11.32686,"Census Tract 1331, Los Angeles County, California",133100,Tarzana,1400000US06037133100,"(34.185206, -118.5447525)",Part_I_Property_Crimes_2012_1400000US06037133100,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2015,10.009099,"Census Tract 1997, Los Angeles County, California",199700,Lincoln Heights,1400000US06037199700,"(34.0679435, -118.221008)",Part_I_Violent_Crimes_2015_1400000US06037199700,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2013,20.717535,"Census Tract 2283.10, Los Angeles County, California",228310,Historic South-Central,1400000US06037228310,"(34.011872, -118.262852)",Part_I_Property_Crimes_2013_1400000US06037228310,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2014,17.875383,"Census Tract 5352, Los Angeles County, California",535200,Florence-Firestone,1400000US06037535200,"(33.949899, -118.24958)",Part_I_Property_Crimes_2014_1400000US06037535200,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2015,14.697569,"Census Tract 2628.02, Los Angeles County, California",262802,Pacific Palisades,1400000US06037262802,"(34.0430379, -118.5061199)",Part_I_Property_Crimes_2015_1400000US06037262802,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2014,11.157601,"Census Tract 8003.26, Los Angeles County, California",800326,Unincorporated Santa Monica Mountains,1400000US06037800326,"(34.118765, -118.824471)",Part_I_Property_Crimes_2014_1400000US06037800326,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2012,5.2631578,"Census Tract 2187.01, Los Angeles County, California",218701,Mid-City,1400000US06037218701,"(34.0372715, -118.333362)",Part_I_Violent_Crimes_2012_1400000US06037218701,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0.48796356,"Census Tract 9200.28, Los Angeles County, California",920028,Santa Clarita,1400000US06037920028,"(34.4364445, -118.4883265)",Part_I_Violent_Crimes_2013_1400000US06037920028,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2013,3.6040366,"Census Tract 2184, Los Angeles County, California",218400,Mid-City,1400000US06037218400,"(34.037613, -118.3607045)",Part_I_Violent_Crimes_2013_1400000US06037218400,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2013,24.572899,"Census Tract 5351.02, Los Angeles County, California",535102,Florence-Firestone,1400000US06037535102,"(33.959393, -118.2495725)",Part_I_Property_Crimes_2013_1400000US06037535102,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2015,26.06212,"Census Tract 2161, Los Angeles County, California",216100,Mid-Wilshire,1400000US06037216100,"(34.0568595, -118.3378575)",Part_I_Property_Crimes_2015_1400000US06037216100,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2014,1.815896,"Census Tract 1352.03, Los Angeles County, California",135203,West Hills,1400000US06037135203,"(34.1943875, -118.6552165)",Part_I_Violent_Crimes_2014_1400000US06037135203,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2015,14.911167,"Census Tract 1211.01, Los Angeles County, California",121101,Sun Valley,1400000US06037121101,"(34.225737, -118.3655)",Part_I_Property_Crimes_2015_1400000US06037121101,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2012,13.736962,"Census Tract 2094.03, Los Angeles County, California",209403,Westlake,1400000US06037209403,"(34.0531325, -118.273845)",Part_I_Property_Crimes_2012_1400000US06037209403,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2016,17.732742,"Census Tract 2715, Los Angeles County, California",271500,Mar Vista,1400000US06037271500,"(34.01663, -118.4375635)",Part_I_Property_Crimes_2016_1400000US06037271500,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2013,25.928793,"Census Tract 2240.20, Los Angeles County, California",224020,Historic South-Central,1400000US06037224020,"(34.030734, -118.267245)",Part_I_Violent_Crimes_2013_1400000US06037224020,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2014,31.552378,"Census Tract 2286, Los Angeles County, California",228600,South Park,1400000US06037228600,"(34.003674, -118.260853)",Part_I_Property_Crimes_2014_1400000US06037228600,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2014,8.0487804,"Census Tract 1153.01, Los Angeles County, California",115301,Northridge,1400000US06037115301,"(34.240482, -118.545339)",Part_I_Property_Crimes_2014_1400000US06037115301,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2015,21.227955,"Census Tract 7032, Los Angeles County, California",703200,View Park-Windsor Hills,1400000US06037703200,"(33.9983555, -118.3403905)",Part_I_Property_Crimes_2015_1400000US06037703200,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2014,10.928962,"Census Tract 2186, Los Angeles County, California",218600,Mid-City,1400000US06037218600,"(34.037184, -118.3427065)",Part_I_Property_Crimes_2014_1400000US06037218600,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2012,5.8799677,"Census Tract 9201.16, Los Angeles County, California",920116,Castaic,1400000US06037920116,"(34.4830095, -118.6364085)",Part_I_Property_Crimes_2012_1400000US06037920116,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2013,48.553375,"Census Tract 9007.04, Los Angeles County, California",900704,Lancaster,1400000US06037900704,"(34.6603865, -118.137914)",Part_I_Property_Crimes_2013_1400000US06037900704,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2015,19.133034,"Census Tract 4086.23, Los Angeles County, California",408623,Hacienda Heights,1400000US06037408623,"(33.9957455, -117.9377215)",Part_I_Property_Crimes_2015_1400000US06037408623,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2012,23.514458,"Census Tract 2100.10, Los Angeles County, California",210010,Pico-Union,1400000US06037210010,"(34.0467975, -118.2717075)",Part_I_Property_Crimes_2012_1400000US06037210010,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2014,1.0535557,"Census Tract 1082.01, Los Angeles County, California",108201,Porter Ranch,1400000US06037108201,"(34.2857885, -118.562083)",Part_I_Violent_Crimes_2014_1400000US06037108201,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2012,7.7810574,"Census Tract 2089.04, Los Angeles County, California",208904,Westlake,1400000US06037208904,"(34.059592, -118.270177)",Part_I_Property_Crimes_2012_1400000US06037208904,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2016,2.2227712,"Census Tract 1838.20, Los Angeles County, California",183820,Highland Park,1400000US06037183820,"(34.104337, -118.197538)",Part_I_Violent_Crimes_2016_1400000US06037183820,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0.57820177,"Census Tract 1941.02, Los Angeles County, California",194102,Hollywood Hills West,1400000US06037194102,"(34.116151, -118.365906)",Part_I_Violent_Crimes_2013_1400000US06037194102,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2015,14.442231,"Census Tract 4082.02, Los Angeles County, California",408202,Industry,1400000US06037408202,"(34.021924, -117.9637775)",Part_I_Violent_Crimes_2015_1400000US06037408202,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2013,17.489069,"Census Tract 5700.03, Los Angeles County, California",570003,Lakewood,1400000US06037570003,"(33.8646165, -118.1402795)",Part_I_Property_Crimes_2013_1400000US06037570003,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2012,17.216642,"Census Tract 4033.25, Los Angeles County, California",403325,Diamond Bar,1400000US06037403325,"(33.965124, -117.8258305)",Part_I_Property_Crimes_2012_1400000US06037403325,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2013,22.947132,"Census Tract 9107.07, Los Angeles County, California",910707,Palmdale,1400000US06037910707,"(34.543249, -118.098902)",Part_I_Property_Crimes_2013_1400000US06037910707,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2014,12.472885,"Census Tract 2393.20, Los Angeles County, California",239320,Florence,1400000US06037239320,"(33.978568, -118.2717375)",Part_I_Violent_Crimes_2014_1400000US06037239320,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2013,1.987413,"Census Tract 5005, Los Angeles County, California",500500,Pico Rivera,1400000US06037500500,"(34.0153955, -118.083676)",Part_I_Violent_Crimes_2013_1400000US06037500500,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2013,2.5741975,"Census Tract 1012.10, Los Angeles County, California",101210,Tujunga,1400000US06037101210,"(34.251998, -118.2926875)",Part_I_Violent_Crimes_2013_1400000US06037101210,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2015,14.259928,"Census Tract 2281, Los Angeles County, California",228100,Central-Alameda,1400000US06037228100,"(34.010118, -118.244922)",Part_I_Property_Crimes_2015_1400000US06037228100,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2012,3.4891834,"Census Tract 2071.01, Los Angeles County, California",207101,Downtown,1400000US06037207101,"(34.0610075, -118.2449835)",Part_I_Violent_Crimes_2012_1400000US06037207101,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2013,11.144333,"Census Tract 6041, Los Angeles County, California",604100,Lawndale,1400000US06037604100,"(33.880805, -118.34807)",Part_I_Property_Crimes_2013_1400000US06037604100,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2015,4.7289925,"Census Tract 2933.02, Los Angeles County, California",293302,Harbor City,1400000US06037293302,"(33.802382, -118.304171)",Part_I_Violent_Crimes_2015_1400000US06037293302,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2013,15.719666,"Census Tract 5535.04, Los Angeles County, California",553504,Downey,1400000US06037553504,"(33.907683, -118.153012)",Part_I_Property_Crimes_2013_1400000US06037553504,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2016,52.916798,"Census Tract 2088.01, Los Angeles County, California",208801,Westlake,1400000US06037208801,"(34.0602215, -118.276593)",Part_I_Property_Crimes_2016_1400000US06037208801,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2013,21.681997,"Census Tract 2383.10, Los Angeles County, California",238310,Vermont Knolls,1400000US06037238310,"(33.9660195, -118.2861825)",Part_I_Property_Crimes_2013_1400000US06037238310,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2014,9.0445271,"Census Tract 2220.02, Los Angeles County, California",222002,Exposition Park,1400000US06037222002,"(34.0218995, -118.3135615)",Part_I_Violent_Crimes_2014_1400000US06037222002,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2013,14.48971,"Census Tract 1113.02, Los Angeles County, California",111302,Northridge,1400000US06037111302,"(34.2539425, -118.512829)",Part_I_Property_Crimes_2013_1400000US06037111302,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2015,2.5889966,"Census Tract 9200.37, Los Angeles County, California",920037,Santa Clarita,1400000US06037920037,"(34.4144835, -118.4485455)",Part_I_Violent_Crimes_2015_1400000US06037920037,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2013,13.762902,"Census Tract 1417, Los Angeles County, California",141700,Sherman Oaks,1400000US06037141700,"(34.1379545, -118.4378355)",Part_I_Property_Crimes_2013_1400000US06037141700,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2012,19.105312,"Census Tract 2933.04, Los Angeles County, California",293304,Harbor City,1400000US06037293304,"(33.792616, -118.3043215)",Part_I_Property_Crimes_2012_1400000US06037293304,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2015,1.3553809,"Census Tract 1066.46, Los Angeles County, California",106646,Granada Hills,1400000US06037106646,"(34.2790905, -118.4941245)",Part_I_Violent_Crimes_2015_1400000US06037106646,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2016,12.244898,"Census Tract 1899.05, Los Angeles County, California",189905,Hollywood,1400000US06037189905,"(34.100732, -118.3514465)",Part_I_Violent_Crimes_2016_1400000US06037189905,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2015,15.199035,"Census Tract 1341.04, Los Angeles County, California",134104,Winnetka,1400000US06037134104,"(34.211953, -118.575385)",Part_I_Property_Crimes_2015_1400000US06037134104,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2012,1.5804923,"Census Tract 1112.06, Los Angeles County, California",111206,Porter Ranch,1400000US06037111206,"(34.2676425, -118.5361955)",Part_I_Violent_Crimes_2012_1400000US06037111206,01/01/2012
